Id,TimeToEnd,DistanceToRadar,Composite,HybridScan,HydrometeorType,Kdp,RR1,RR2,RR3,RadarQualityIndex,Reflectivity,ReflectivityQC,RhoHV,Velocity,Zdr,LogWaterVolume,MassWeightedMean,MassWeightedSD,Expected
1,56.0 37.0 31.0 25.0 19.0 13.0 7.0 2.0,30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.006246 0.0200476 0.0113924 0.217157 0.0285667 0.00374591 0.0214067 0.147393,13.0 17.5 14.0 8.5 7.0 11.0 9.0 9.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.865 0.841667 0.765 0.985 0.768333 0.491667 0.775 1.05167,-99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0,7.9375 4.5 4.1875 5.5625 3.375 7.0625 5.3125 6.125,nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan,0.0
2,58.0 48.0 38.0 29.0 19.0 9.0,77.0 77.0 77.0 77.0 77.0 77.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 999.0 999.0 999.0,15.0 18.5 10.5 3.0 0.5 -3.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.635 0.851667 0.891667 0.638333 0.791667 0.738333,-4.0 -3.0 -2.0 -0.5 -4.0 3.0,2.6875 3.0 2.375 6.25 3.125 6.0625,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
3,59.0 20.0,75.0 75.0,-99900.0 -99900.0,-99900.0 -99900.0,8.0 8.0,0.0 0.0,0.0 0.0,-99900.0 -99900.0,-99900.0 -99900.0,999.0 999.0,6.5 4.0,-99900.0 -99900.0,0.998333 0.891667,-99900.0 -3.5,-6.5 -4.6875,nan nan,nan nan,nan nan,0.0
4,53.0 43.0 34.0 24.0 14.0 5.0,21.0 21.0 21.0 21.0 21.0 21.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0,11.0 14.0 12.0 11.0 13.0 15.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.688333 0.518333 0.708333 0.805 0.708333 0.555,-7.0 -12.0 -11.5 -8.5 -8.0 -13.0,-0.375 5.0625 1.1875 2.0 2.0625 0.3125,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
5,56.0 52.0 43.0 59.0 54.0 48.0 42.0 36.0 31.0 57.0 52.0 46.0 41.0 35.0 29.0 59.0 55.0 52.0 48.0 45.0 41.0 37.0 34.0 58.0 55.0 51.0 48.0 45.0 41.0 38.0 31.0 55.0 44.0,69.0 69.0 69.0 83.0 83.0 83.0 83.0 83.0 83.0 54.0 54.0 54.0 54.0 54.0 54.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 60.0 60.0 60.0 60.0 60.0 60.0 60.0 60.0 58.0 58.0,23.0 24.0 22.0 15.5 14.5 16.0 15.0 18.5 12.5 16.0 19.5 19.5 23.0 18.5 17.0 22.0 15.0 20.5 23.0 20.5 21.0 19.0 13.5 24.5 22.0 26.0 22.5 17.0 24.0 20.0 17.5 22.5 28.0,13.5 15.5 19.0 -99900.0 -99900.0 -99900.0 -99900.0 19.5 17.5 20.0 18.0 -99900.0 -99900.0 23.5 -99900.0 21.5 18.0 20.5 20.5 21.0 15.0 24.5 27.0 19.0 23.5 21.5 19.5 14.0 -99900.0 -99900.0 16.5 -99900.0 -99900.0,9.0 9.0 9.0 8.0 8.0 8.0 8.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 8.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 7.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.27899 0.0 1.27511 1.32871 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 0.42133 -99900.0 0.5145 0.518951 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 7.53835 -99900.0 -4.73293 -12.2587 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.996433 0.0 0.999376 0.998244 0.998472 0.995176 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 0.0 0.999481 0.0 0.997987 0.0 0.99659 0.97116 0.968709 1.0 1.0,14.0 14.0 17.0 24.5 23.5 21.5 25.0 16.0 21.0 16.0 21.5 19.5 23.0 13.5 13.5 22.0 15.0 20.5 23.0 20.5 21.0 19.0 13.5 24.5 22.0 22.5 15.5 13.5 24.0 20.0 17.5 3.5 14.5,14.0 14.0 17.0 -99900.0 -99900.0 -99900.0 -99900.0 16.0 -99900.0 16.0 -99900.0 19.5 23.0 13.5 13.5 22.0 15.0 20.5 23.0 20.5 21.0 19.0 13.5 24.5 22.0 22.5 15.5 13.5 24.0 20.0 17.5 3.5 -99900.0,1.01833 1.01167 0.991667 1.015 1.015 1.005 1.02167 1.05167 1.00833 1.005 1.005 1.01167 0.998333 0.918333 0.995 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 1.015 0.981667 1.00833 1.05167 0.895 0.978333 1.00167 1.01833 1.02167 1.005,14.0 13.5 12.5 -13.5 -19.5 -16.0 -15.0 -14.0 -13.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99900.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99901.0 -99901.0 -99901.0 -99901.0 -9.0 -99901.0 -99901.0 -99900.0 -5.5 -3.5,0.9375 -0.875 -0.75 0.0 0.0625 0.3125 0.5625 -1.0 0.375 -0.625 0.4375 -1.0 0.1875 -0.375 -1.3125 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 0.5 -0.125 1.0 0.4375 -2.1875 0.0625 2.0625 0.625 -0.25 0.125,-13.4793885769 -12.1370512402 -11.6001776071 nan nan nan nan -11.717625522 nan -11.9017559586 nan -10.8859399552 -10.957193195 -12.744358581 -11.9707646727 nan nan nan nan nan nan nan nan -10.8384163682 -10.9617377236 -11.6438404797 -12.8244335345 -11.4955113687 -10.6311046229 -13.0494847526 -12.4712061605 nan nan,1.86413642918 1.27740873124 1.35497004174 nan nan nan nan 1.31864263234 nan 1.3873612512 nan 1.28460229328 1.67247023222 1.47225139835 1.19188962698 nan nan nan nan nan nan nan nan 1.7503946408 1.55033884075 1.95816111524 1.72316628519 1.05927343574 1.62076207745 2.45679741127 1.78860878333 nan nan,0.755068594278 0.502681241559 0.514253049727 nan nan nan nan 0.503640081568 nan 0.538950951963 nan 0.502715541581 0.64493914203 0.588687429697 0.464997444305 nan nan nan nan nan nan nan nan 0.6816586142 0.599391207869 0.760990363959 0.691994440628 0.391724963131 0.627097967865 0.975245579546 0.697306959147 nan nan,0.0
6,56.0 47.0 37.0 27.0 18.0 8.0,1.0 1.0 1.0 1.0 1.0 1.0,-99900.0 -99900.0 -99900.0 -4.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 999.0 999.0 999.0,-13.5 -8.5 9.5 14.0 13.0 15.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,1.05167 0.988333 0.298333 0.215 0.301667 0.235,15.0 8.0 5.5 7.5 7.0 7.0,-0.9375 0.8125 3.1875 3.3125 -1.1875 1.6875,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
7,59.0 55.0 51.0 46.0 42.0 38.0 33.0 29.0 25.0 20.0 16.0 12.0 7.0 3.0,42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -99900.0 -99900.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0483593 0.0583249 0.103542 0.0419694 0.0695798 0.128529 0.0904659 0.0664222 0.033234 0.077143 0.0818211 0.117447 0.0316389 0.187933,15.5 16.0 3.5 -6.5 13.5 15.0 18.0 3.0 17.5 21.0 14.0 8.0 10.0 -2.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.901667 0.661667 0.688333 0.465 0.845 0.728333 0.755 0.541667 0.208333 0.908333 0.965 0.541667 0.295 0.811667,-2.0 13.5 -3.5 5.5 -4.5 3.0 -1.5 1.0 0.5 3.5 7.5 4.0 2.5 -2.0,7.5 -0.0625 5.5625 -4.5625 1.5 1.5625 2.8125 7.9375 3.3125 3.6875 -2.3125 2.3125 4.75 3.375,nan nan nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan nan nan,0.0
8,57.0 54.0 51.0 48.0 44.0 41.0 38.0 35.0 22.0 43.0 57.0 53.0 49.0,10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 8.0 20.0 20.0 20.0,26.0 38.0 39.5 36.0 33.0 37.0 37.5 36.5 -99900.0 -99900.0 -99900.0 -99900.0 23.5,47.0 44.0 42.0 32.0 41.5 26.5 30.5 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 17.5,9.0 13.0 13.0 13.0 9.0 9.0 13.0 9.0 8.0 8.0 8.0 8.0 9.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 6.048 4.66107 4.46988 3.07344 4.99969 4.3752 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 9.72906 6.48322 6.28992 2.42506 4.78497 6.79837 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -1.31778 18.6753 -6.69155 12.8562 -8.94944 1.03084 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.948379 0.407035 999.0 999.0 999.0 999.0,26.0 38.0 37.0 36.0 32.5 37.0 37.5 8.5 11.0 17.5 26.5 20.5 23.5,26.0 38.0 37.0 36.0 32.5 37.0 37.5 8.5 -99900.0 -99900.0 -99900.0 -99900.0 23.5,0.958333 0.978333 0.988333 0.991667 0.995 0.991667 0.988333 0.955 1.05167 -99903.0 -99903.0 -99903.0 -99903.0,10.5 10.0 10.0 12.0 12.5 12.5 14.5 -99900.0 16.0 -99903.0 -99903.0 -99903.0 -99903.0,0.375 -0.3125 0.5625 1.0625 1.5625 0.8125 0.1875 -1.625 -0.25 -99903.0 -99903.0 -99903.0 -99903.0,-10.3712052779 -7.19622143405 -8.05001158701 -8.54866506399 -9.81586114596 -8.12994044553 -7.62647279713 nan nan nan nan nan nan,1.73805086725 1.51845864912 1.84691847908 1.94374575325 2.22583696109 1.88769936824 1.6704439729 nan nan nan nan nan nan,0.653683396104 0.585207001984 0.691357250364 0.758948986826 0.876322381382 0.739324484335 0.63283388354 nan nan nan nan nan nan,5.6
9,36.0 26.0,92.0 92.0,-99900.0 -99900.0,-99900.0 -99900.0,8.0 8.0,0.0 0.0,0.0 0.0,-99900.0 -99900.0,-99900.0 -99900.0,999.0 999.0,17.0 5.5,-99900.0 -99900.0,0.948333 0.641667,-10.0 -99900.0,0.5 -5.8125,nan nan,nan nan,nan nan,0.0
